CustomerID,frequency_x,monetary,avg_basket_value,customer_lifetime_days,purchase_velocity,return_ratio,churn,churn_probability,frequency_y,recency,T,monetary_value,predicted_purchases_6m,expected_monetary_value,clv_6m,CLV Segment,revenue_at_risk,retained_value
12346,2,0.0,0.0,1,2.0,0.0,1,0.681931486,1,0,326,77183.6,0.1706613740771108,77015.25922789305,12696.38840628199,High Value,8658.067012729049,4038.3213935529416
12347,7,4310.0,23.68131868,366,0.019125683,0.0,0,0.056281988,7,365,367,23.68131868131868,3.552781876557971,24.12835610929809,82.80405439268667,High Value,4.660376795680538,78.14367759700613
12348,4,1797.24,57.97548387,283,0.014134276,0.0,0,0.175737408,4,282,358,57.97548387096774,2.245363645416147,58.7385289440753,127.39933532652807,High Value,22.38882897120688,105.0105063553212
12349,1,1757.55,24.0760274,1,1.0,0.0,0,0.688613246,1,0,19,24.07602739726028,5.742041185935938,27.198451859791813,150.878517791813,High Value,103.8969458882891,46.98157190352391
12350,1,334.4,19.67058824,1,1.0,0.0,1,0.730313526,1,0,310,19.670588235294115,0.1924591053589825,22.80280242490161,4.239316663228927,Low Value,3.0960303001532723,1.143286363075655
12352,11,1545.41,16.26747368,261,0.042145594,0.140425532,0,0.135194849,8,260,297,29.482823529411764,4.808311388126598,29.872382185050167,138.7459272407875,High Value,18.757734682683253,119.98819255810425
12353,1,89.0,22.25,1,1.0,0.0,1,0.737330351,1,0,204,22.25,0.4824802784757802,25.376482244104537,11.827387883229498,Low Value,8.720692059354754,3.1066958238747455
12354,1,1079.4,18.61034483,1,1.0,0.0,1,0.708718467,1,0,232,18.610344827586207,0.3697612772523812,21.74491508050861,7.767017141906754,Low Value,5.504628481974875,2.262388659931878
12355,1,459.4,35.33846154,1,1.0,0.0,1,0.727698147,1,0,214,35.33846153846154,0.4377925800499344,38.43585872166862,16.25480700216786,Low Value,11.828592935320176,4.426214066847683
12356,3,2811.43,47.65135593,303,0.00990099,0.0,0,0.1436738,3,302,326,47.65135593220339,1.9680461891879533,48.67621942065767,92.53631463985576,High Value,13.295043962303708,79.24127067755205
12357,1,6207.67,47.38679389,1,1.0,0.0,0,0.540674855,1,0,33,47.38679389312977,4.360997683501156,50.45741738110778,212.57988561566185,High Value,114.93659883116456,97.64328678449729
12358,2,1168.06,61.47684211,150,0.013333333,0.0,0,0.447204876,2,149,151,61.47684210526315,2.834094179674133,62.99818882183754,172.47208459000464,High Value,77.13035720253453,95.3417273874701
12359,6,6245.53,24.58870079,324,0.018518519,0.006203474,0,0.064328846,4,274,332,25.6958870967742,2.4104648077784168,26.47689496447918,61.64904070693954,Medium Value,3.965811645684444,57.68322906125509
12360,3,2662.06,20.63612403,149,0.020134228,0.0,0,0.376574936,3,148,201,20.63612403100775,2.961274104952696,21.68102821031838,62.01924892735743,Medium Value,23.354894695587696,38.664354231769735
12361,1,189.9,18.99,1,1.0,0.0,1,0.734331706,1,0,287,18.99,0.2305114835944815,22.12372658663074,4.926308038542659,Low Value,3.6175441862245448,1.3087638523181147
12362,13,5154.58,18.81233577,293,0.044368601,0.007685353,0,0.058306801,10,292,296,19.64748120300752,5.921637063883455,19.961335456468163,114.17965625531468,High Value,6.657450495527038,107.52220575978765
12363,2,552.0,24.0,133,0.015037594,0.0,1,0.501234376,2,132,242,24.0,1.8278695240077656,25.56303338429076,45.136223399804805,Medium Value,22.62382677079776,22.512396629007046
12364,4,1313.1,15.44823529,105,0.038095238,0.0,0,0.493482369,4,104,112,15.448235294117646,5.973286370945256,16.23494572575875,93.67865792001018,High Value,46.228766035107235,47.44989188490295
12365,3,320.69,13.94304348,1,3.0,0.005780347,1,0.60951586,2,0,291,29.15363636363636,0.1468934906097858,30.71093719644857,4.357726953514887,Low Value,2.6561036917168064,1.7016232617980807
12367,1,168.9,15.35454545,1,1.0,0.0,0,0.734707109,1,0,4,15.354545454545455,8.188132604302833,18.49635071539881,146.31708974614924,High Value,107.50020600468686,38.816883741462384
12370,4,3545.69,21.23167665,310,0.012903226,0.0,0,0.116161066,4,309,360,21.231676646706585,2.2457185620116773,22.01516873674914,47.75674070364465,Medium Value,5.547473908820953,42.2092667948237
12371,2,1887.96,29.96761905,15,0.133333333,0.0,0,0.682273115,2,14,60,29.96761904761905,5.0537217902369775,31.52401446194433,153.9026432180374,High Value,105.003635795104,48.8990074229334
12372,3,1298.04,24.96230769,225,0.013333333,0.0,0,0.282387959,3,224,297,24.962307692307693,2.114968482288102,26.00400258177543,53.12581594893394,Medium Value,15.002090736029105,38.12372521290484
12373,1,364.6,26.04285714,1,1.0,0.0,1,0.729835131,1,0,311,26.042857142857144,0.1909950145158458,29.1609109341102,5.380123251880254,Low Value,3.926602958332171,1.4535202935480829
12374,1,742.93,22.5130303,1,1.0,0.0,0,0.718803492,1,0,25,22.513030303030305,5.078555646233809,25.63892804357352,125.79242129426792,High Value,90.42003169345494,35.37238960081297
