CustomerID,frequency,recency,T,monetary_value
12346.0,1,0,326,77183.6
12347.0,7,365,367,23.681318681318682
12348.0,4,282,358,57.97548387096774
12349.0,1,0,19,24.076027397260273
12350.0,1,0,310,19.670588235294115
12352.0,8,260,297,29.482823529411764
12353.0,1,0,204,22.25
12354.0,1,0,232,18.610344827586207
12355.0,1,0,214,35.33846153846154
12356.0,3,302,326,47.65135593220339
12357.0,1,0,33,47.38679389312977
12358.0,2,149,151,61.47684210526315
12359.0,4,274,332,25.695887096774193
12360.0,3,148,201,20.63612403100775
12361.0,1,0,287,18.990000000000002
12362.0,10,292,296,19.647481203007516
12363.0,2,132,242,24.0
12364.0,4,104,112,15.448235294117646
12365.0,2,0,291,29.153636363636362
12367.0,1,0,4,15.354545454545455
12370.0,4,309,360,21.231676646706585
12371.0,2,14,60,29.96761904761905
12372.0,3,224,297,24.962307692307693
12373.0,1,0,311,26.042857142857144
12374.0,1,0,25,22.513030303030305
12375.0,2,87,98,26.91176470588235
12377.0,2,39,355,21.144415584415583
12378.0,1,0,130,18.30420091324201
12379.0,2,88,170,21.306
12380.0,4,164,186,26.200096153846154
12381.0,5,115,120,21.21045977011494
12383.0,5,167,352,18.69252525252525
12384.0,2,92,122,21.676666666666666
12386.0,2,29,367,40.19
12388.0,6,311,327,27.8066
12390.0,1,0,80,17.1825
12391.0,1,0,22,4.6089
12393.0,4,260,333,24.728125000000002
12394.0,2,153,217,47.12888888888889
12395.0,12,351,371,19.350192307692307
12397.0,2,99,135,19.126190476190477
12398.0,1,0,46,19.24305882352941
12399.0,4,142,262,18.790677966101697
12401.0,1,0,303,16.86
12402.0,1,0,323,20.509090909090908
12403.0,1,0,50,85.53999999999999
12405.0,1,0,149,31.67388888888889
12406.0,2,161,184,32.52666666666667
12407.0,5,214,264,22.183376623376624
12408.0,5,227,260,27.51
12409.0,3,103,183,101.58412844036697
12410.0,2,0,309,26.666538461538458
12412.0,3,94,169,20.112786885245903
12413.0,3,270,337,19.95
12414.0,3,93,310,31.244999999999997
12415.0,21,313,338,174.95032212885152
12417.0,9,354,358,19.005729166666665
12418.0,1,0,113,19.664117647058823
12420.0,1,0,64,20.70310344827586
12421.0,4,303,319,17.93422222222222
12422.0,3,229,325,20.604102564102565
12423.0,8,352,354,14.87448
12424.0,2,0,163,58.69866666666667
12425.0,1,0,78,21.58888888888889
12426.0,1,0,195,19.424333333333333
12427.0,3,349,372,26.638709677419353
12428.0,9,257,284,27.062789115646257
12429.0,4,356,366,38.66391752577319
12430.0,1,0,43,23.30909090909091
12431.0,15,338,374,27.606170212765957
12432.0,5,129,172,46.845555555555556
12433.0,7,372,373,31.847309523809525
12434.0,2,175,260,16.122799999999998
12435.0,2,188,268,217.49694444444447
12436.0,1,0,100,31.813125
12437.0,18,329,331,24.88145728643216
12438.0,2,125,140,29.66173469387755
12441.0,1,0,367,15.77727272727273
12442.0,1,0,3,14.338333333333333
12444.0,5,149,171,28.440113636363638
12445.0,1,0,22,33.35
12446.0,1,0,58,17.584385964912283
12447.0,1,0,243,18.326538461538462
12448.0,1,0,44,20.429545454545455
12449.0,4,164,187,21.294712041884818
12450.0,2,17,173,24.735
12451.0,5,313,325,25.524067796610172
12452.0,2,0,17,19.571363636363635
12453.0,1,0,134,16.443953488372095
12454.0,1,0,56,235.22266666666667
12455.0,6,223,297,27.409555555555556
12456.0,3,210,255,25.44832
12457.0,7,172,239,38.11661290322581
12458.0,2,213,285,24.931578947368422
12461.0,2,60,155,23.62514285714286
12462.0,2,284,303,19.186935483870965
12463.0,4,188,242,16.202168674698793
12464.0,8,299,309,41.79482758620689
12465.0,2,152,169,15.79127659574468
12468.0,2,128,316,19.19842105263158
12471.0,30,362,365,43.09576086956522
12472.0,7,336,369,19.386755162241887
12473.0,5,162,192,23.443749999999998
12474.0,18,312,330,17.395731132075472
12475.0,1,0,54,20.093888888888888
12476.0,11,345,361,29.255021459227468
12477.0,6,278,302,44.065799999999996
12478.0,1,0,4,18.91638888888889
12479.0,1,0,11,17.006451612903227
12480.0,4,307,336,21.309285714285714
12481.0,10,342,366,25.789493087557602
12483.0,8,322,339,33.133066666666664
12484.0,6,303,336,13.126358381502891
12488.0,3,65,76,23.612000000000002
12489.0,1,0,336,22.328666666666667
12490.0,10,324,330,22.114
12491.0,1,0,39,17.70769230769231
